DATOS EPP,,,,,,DATOS EVALUACIÓN,,,,,,
#ID,TIPO EPP,SERVICIO ,ALTA (año),AÑOS,REQUIERE RX,INTEGRIDAD BLINDAJE,COSTURAS Y SUJECIONES,INTEGRIDAD EXTERNA,ESTADO,DESC,PARA REPARAR,COMENTARIOS
10001,Delantal,Rx,2018,8,NO,OK,OK,Defectuoso,A DESCARTAR,FALSE,SI,ex 61815 faltan tiras. RADIOSCOPIA OK
10021,Conj-Pollera,Hemo- Ferrero,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO
10031,Conj-Chaleco,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,ex 81805 limpiar velcro. RADIOSCOPIA ok
10170,Conj-Chaleco,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,ex 81801 limpiar velcro. RADIOSCOPIA OK
10177,Conj-Pollera,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,ex 81801 REPARADO
10020,Conj-Pollera,Hemo - Caeiro,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO
10033,Conj-Chaleco,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO
10034,Conj-Chaleco,Hemo- Caeiro,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,ex 71807. REPARADO
10026,Conj-Pollera,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARANDOSE
10171,Conj-Chaleco,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARANDOSE
10019,Conj-Pollera,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,abrojo sucio. RADIOSCOPIA OK
10027,Conj-Chaleco,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10107,Tiroideo,-,2000,26,NO,Defectuoso,Defectuoso,Defectuoso,A DESCARTAR,FALSE,,abrojo  / goma endurecida. DESCARTE
10011,Tiroideo,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO
11826,Tiroideo,Hemo,2000,26,NO,Defectuoso,Defectuoso,Defectuoso,A DESCARTAR,FALSE,,goma endurecida. DESCARTE
10100,Tiroideo,Hemo,2000,26,NO,Defectuoso,Defectuoso,Defectuoso,A DESCARTAR,FALSE,,abrojo . DESCARTE. GOMA ENDURECIDA
10093,Tiroideo,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10097,Tiroideo,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10105,Tiroideo,Hemo,2018,8,NO,OK,OK,Defectuoso,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10098,Tiroideo,-,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
11859,Tiroideo,-,2010,16,NO,OK,Defectuoso,OK,A DESCARTAR,FALSE,,DESCARTE POR TIEMPO CADUCIDAD. REPARANDOSE
10005,Tiroideo,-,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10096,Tiroideo,TAC     ,2000,26,NO,OK,OK,OK,A DESCARTAR,FALSE,,DESCARTE GOMA ACARTONADA
10095,Tiroideo,TAC     ,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10092,Tiroideo,TAC     ,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10090,Tiroideo,-,2018,8,NO,OK,Defectuoso,Defectuoso,A DESCARTAR,FALSE,,abrojo. TELA SUPERIOR DESCOSIDA
11870,Tiroideo,-,2000,26,NO,OK,Defectuoso,OK,A DESCARTAR,FALSE,,abrojo
10111,Delantal,Quirofano,2019,7,NO,Defectuoso,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK 
10168,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,SI,RADIOSCOPIA OK ESPALDA ROTA POR PRECINTOS 
10169,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
544,Delantal,Quirofano,2021,5,SI,OK,Defectuoso,OK,BAJO RESERVA,FALSE,SI,REEMPLAZO TIRAS
10162,Delantal,Quirofano,2022,4,NO,OK,Defectuoso,OK,BAJO RESERVA,FALSE,SI,REEMPLAZO TIRAS. RADIOSC OK ----4/8
1943,Tiroideo,Quirofano,2022,4,NO,OK,OK,OK,APROBADO,FALSE,,
10113,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10110,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,SI,"REEMPLAZO TIRAS, RADIOSCOPIA OK"
121932,Delantal,Quirofano,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,RX POR PLOMO ARRUGADO ABAJO
10116,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,SI,REEMPLAZO TIRAS. RADIOSCOPIA OK
10117,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,SI,REEMPLAZO TIRAS. RADIOSCOPIA OK
10112,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,SI,REEMPLAZO TIRAS. RADIOSCOPIA OK
11891,Tiroideo,Quirofano,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
10126,Tiroideo,Quirofano,2000,26,NO,Defectuoso,OK,OK,A DESCARTAR,FALSE,,DESCARTE POR GRIETA. IMAGEN 
10118,Tiroideo,Quirofano,2000,26,NO,Defectuoso,OK,OK,A DESCARTAR,FALSE,,DESCARTE. IMAGEN 
11895,Tiroideo,Quirofano,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
10127,Tiroideo,Quirofano,2000,26,NO,OK,OK,OK,A DESCARTAR,FALSE,,PARA DESCARTAR. IMAGEN 
10124,Tiroideo,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
11898,Tiroideo,Quirofano,2000,26,NO,OK,OK,OK,A DESCARTAR,FALSE,,
10128,Tiroideo,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10120,Tiroideo,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10123,Tiroideo,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
11772,Tiroideo,Quirofano,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
11773,Tiroideo,Quirofano,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
10125,Tiroideo,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10119,Tiroideo,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
11776,Tiroideo,Quirofano,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
11777,Tiroideo,Quirofano,2000,26,NO,Defectuoso,OK,OK,A DESCARTAR,FALSE,,DESCARTAR
10122,Tiroideo,Quirofano,2018,8,NO,Defectuoso,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
11779,Tiroideo,Quirofano,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
10164,Delantal,Quirofano,2021,5,SI,OK,Defectuoso,OK,BAJO RESERVA,FALSE,SI,"OJO COSTURAS HOMBROS, REFORZAR PRENDE DE UN HILO"
10109,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,SI,REEMPLAZAR TIRAS. RADIOSCOPIA OK
10115,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,SI,REEMPLAZAR TIRAS. RADIOSCOPIA OK
10166,Delantal,Quirofano,2021,5,SI,OK,Defectuoso,OK,BAJO RESERVA,FALSE,SI,"OJO COSTURAS HOMBROS, REFORZAR Y REEMPLAZO TIRAS. RADIOSCOPIA OK"
10163,Delantal,Quirofano,2021,5,SI,OK,Defectuoso,OK,BAJO RESERVA,FALSE,SI,"OJO COSTURAS HOMBROS , REFORZAR Y REEMPLAZO TIRAS. RADIOSCOP OK 4-8"
10167,Delantal,Quirofano,2021,5,SI,OK,Defectuoso,OK,BAJO RESERVA,FALSE,SI,"OJO COSTURAS HOMBROS , REFORZAR Y REEMPLAZO TIRAS. RADIOSC OK "
10114,Delantal,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,SI,REEMPLAZAR TIRAS. RADIOSCOPIA OK
10165,Delantal,Quirofano,2021,5,SI,OK,Defectuoso,OK,BAJO RESERVA,FALSE,SI,"OJO COSTURAS HOMBROS , REFORZAR Y REEMPLAZO TIRAS. RADIOSCOPIA OK "
121939,Delantal,Pediatria,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
121939,Tiroideo,Pediatria,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
